"registration_id","hacker_id","username","nickname","github_raw","registered_at"
175384,226358,"U_734f5f44af2b46","hacker8610b64","kelechikizito",1785319040
175385,335947,"winternet","winternet","gossipgirlonchain",1785319175
175388,336899,"U_c280a3f1ee21db","Blaqcaptain","captainebru84-sudo",1785324349
175400,303954,"U_4d49dc8f33bfac","hacker156f7f8","",1785339034
175405,306743,"Andreas","0x_andreas256","",1785363304
175406,343801,"U_84ae3034ab14e9","hacker83a32e0","",1785367199
175411,80739,"U_f39dade3dda151","kimerran","kimerran",1785382398
175418,330268,"w1193381997","donutshole","",1785391494
175421,343828,"U_72c09d0632319c","Lakshya","lxyaverse",1785397269
175426,321442,"U_c2ddfe18bde94","hacker021","harsh11067",1785410087
175427,170269,"youngAncient","YoungAncient","youngancient",1785415945
175432,333606,"U_71f510eb751ee0","Hang-Lin","NewNexus001",1785422428
175436,337677,"raviraj","raviraj","raviraj016-innovator",1785430210
175442,276628,"U_ef5d4adf1507c9","Webghost-prop","Webghost01-NG",1785437989
175444,132547,"adokiye","calledAdo","calledAdo",1785440004
175448,343414,"PAIMultiverse","Martin","martin-gedyk",1785448250
175451,335596,"U_f886a0d9122dcf","hacker7bf804d","",1785453376
175452,310158,"Prudent01234","Prudent","Prudentdev-xyz",1785453417
175455,343721,"zachbuilds","zachbuilds","zachbuilds26",1785458127
175464,340399,"U_530abb3598b8b","wngstnr-code","wngstnr-code",1785478891
175470,213377,"U_341541ac0e9f38","hacker196f640","DiveshChauhan123",1785490422
175471,343922,"ihaveclones","ihaveclones","iamrobertmoore",1785490745
175475,216201,"Sadick_issaka","Sadick Issaka","Sadick14",1785493894
175479,343871,"Leyenda","Mark","211052932",1785507169
175483,132737,"prishank","shashank","",1785510747
175494,322530,"Bambamxbt","bambam","ajanaku1",1785524781
175495,336234,"yemiight","Donyemiight","Donyemiight",1785525073
175497,283372,"Sunnyboi","Sunnyboicrypto","davife2025",1785528238
175499,343958,"U_167881f05c2d4c","tahirbuyukhelvacigl","",1785528622
175501,343903,"U_34dfeee76ea0e0","hacker816f834","priyaraghavan23",1785528944
175509,343707,"thenicovale","Nico vale","DdDob",1785536016
175515,333980,"rookie_of_ph","damli40","damli40",1785543722
175518,343976,"U_2bf7374f8eb940","charleschibudom2","charleschibudom2-ux",1785548183
175522,343978,"U_a74501821a7330","kirilovamanolo490","",1785551635
175527,343982,"U_c09150f5cb53d7","cesarcaqui1901","",1785557677
175528,284407,"rehreh","Rehna","rehna-jp",1785558985
175533,205331,"Bear","karansahani78","Karansahani78",1785565671
175536,280432,"SpaceAI","SpaceMind","sofiadaniellarossi-cmd",1785573145
175541,175749,"artomily","artomily","artomily",1785581921
175551,343870,"U_7ff0891b7fa645","victorbenedict43","vibenedict",1785601619
175557,322095,"praise_prodigyy","Praise","Techkeyys",1785608399
175566,337708,"U_c264432a532899","Divyanshu Singh","Div1912",1785616740
175578,330373,"mateojk","MJ","mateojkk",1785622407
175579,342660,"Bobotrades0","David fadoju","Bobo2005",1785624886
175585,105986,"mashharuki","mashharuki","mashharuki",1785646530
175587,81868,"U_24b637f7e4a067","dinesh11515","dinesh11515",1785650971
175588,327564,"Darouma","Darouma","dmetagame",1785655361
175591,344077,"nabilaufa","Nabil-Aufa","Nabil-Aufa",1785663459
175595,252142,"U_4cb07e04799120","maulana-tech","maulana-tech",1785672068
175596,341094,"Divineisnothman","Divine Dilibe","TheWeirdDee",1785673389
175599,186199,"Disassembler","Ataberk Şeker","",1785677464
175604,258753,"Me_","Me","oderahub",1785687491
175605,96730,"U_79005763a816e1","youtpout","youtpout",1785687588
175607,328617,"shanks","shanks","Shanks-btc",1785688340
175608,335881,"U_d1dc7bfe95e9e9","Eminent","eminentcodes",1785689000
175610,312987,"RishitaSeal","Pixie","Pixie-19",1785689384
